DATAFLOW,LAST UPDATE,freq,age,sex,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Austria,2022,27844,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Belgium,2022,27314,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Bulgaria,2022,5378,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Switzerland,2022,45405,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Cyprus,2022,17856,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Czechia,2022,12146,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Germany,2022,24925,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Denmark,2022,33260,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Euro area – 20 countries (from 2023),2022,21267,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Estonia,2022,14827,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Greece,2022,9520,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Spain,2022,16814,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,European Union - 27 countries (from 2020),2022,19083,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Finland,2022,26541,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,France,2022,23053,b
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Croatia,2022,8760,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Hungary,2022,6975,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Ireland,2022,30063,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Italy,2022,18592,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Lithuania,2022,10195,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Luxembourg,2022,45310,b
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Latvia,2022,10258,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Montenegro,2022,4293,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Malta,2022,18155,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Netherlands,2022,29537,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Norway,2022,39206,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Poland,2022,8946,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Portugal,2022,11014,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Romania,2022,5512,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Serbia,2022,4509,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Sweden,2022,26738,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Slovenia,2022,16544,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Slovakia,2022,8819,
ESTAT:ILC_DI03(1.0),06/12/24 23:00:00,Annual,Total,Total,Median equivalised net income,Euro,Türkiye,2022,2804,
